id,movie_key,name,source,file_name,script_url,tmdb_title,release_date,tmdb_id,overview,imdb_title,imdb_release_date,imdb_id,dialogue,charinfo,tagged
847,seventhseal,"Seventh Seal, The",imsdb,Seventh-Seal-The,https://imsdb.com/scripts/Seventh-Seal%2C-The.html,The Seventh Seal,1957-02-16,490,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",The Seventh Seal,1957,0050976,Seventh-Seal-The_dialogue.txt,Seventh-Seal-The_charinfo.txt,Seventh-Seal-The_parsed.txt
848,sexcity,Sex and the City,imsdb,Sex-and-the-City,https://imsdb.com/scripts/Sex-and-the-City.html,Sex and the City,2008-05-12,4564,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,Sex and the City,1998,0159206,Sex-and-the-City_dialogue.txt,Sex-and-the-City_charinfo.txt,Sex-and-the-City_parsed.txt
849,sexuallife,Sexual Life,imsdb,Sexual-Life,https://imsdb.com/scripts/Sexual-Life.html,Sexual Life,2005-01-05,63334,"As they seek romance and sexual gratification, the lives of eight Los Angeles natives -- including a teenager, a wedding photographer and a hotel desk clerk -- converge on a carousel of carnal encounters.",Sexual Life,2004,0376874,Sexual-Life_dialogue.txt,Sexual-Life_charinfo.txt,Sexual-Life_parsed.txt
850,shakespeareinlove,Shakespeare in Love,imsdb,Shakespeare-in-Love,https://imsdb.com/scripts/Shakespeare-in-Love.html,Shakespeare in Love,1998-12-11,1934,"Young Shakespeare is forced to stage his latest comedy, ""Romeo and Ethel, the Pirate's Daughter,"" before it's even written. When a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). As their relationship progresses, Shakespeare's comedy soon transforms into tragedy.",Shakespeare in Love,1998,0138097,Shakespeare-in-Love_dialogue.txt,Shakespeare-in-Love_charinfo.txt,Shakespeare-in-Love_parsed.txt
851,shallowgrave,Shallow Grave,imsdb,Shallow-Grave,https://imsdb.com/scripts/Shallow-Grave.html,Shallow Grave,1994-12-22,9905,"When David, Juliet, and Alex are searching for a fourth roommate for their flat, they settle on the aloof Hugo. However, they soon find Hugo dead, with a large sum of cash being among his belongings. The three friends decide to keep the money, dismembering and burying Hugo's body. However, their newfound fortune begins to corrode their friendships, with each roommate resorting to manipulation tactics to scam the others out of the money.",Shallow Grave,1994,0111149,Shallow-Grave_dialogue.txt,Shallow-Grave_charinfo.txt,Shallow-Grave_parsed.txt
852,shame,Shame,imsdb,Shame,https://imsdb.com/scripts/Shame.html,Shame,2011-10-02,76025,"Brandon, a thirty-something man living in New York, eludes intimacy with women but feeds his deepest desires with a compulsive addiction to sex. When his younger sister temporarily moves into his apartment, stirring up bitter memories of their shared painful past, Brandon's life, like his fragile mind, gets out of control.",Shame,2011,1723811,Shame_dialogue.txt,Shame_charinfo.txt,Shame_parsed.txt
853,shawshankredemption,"Shawshank Redemption, The",imsdb,Shawshank-Redemption-The,https://imsdb.com/scripts/Shawshank-Redemption%2C-The.html,The Shawshank Redemption,1994-09-23,278,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",The Shawshank Redemption,1994,0111161,Shawshank-Redemption-The_dialogue.txt,Shawshank-Redemption-The_charinfo.txt,Shawshank-Redemption-The_parsed.txt
854,shesoutofmyleague,She's Out of My League,imsdb,Shes-Out-of-My-League,https://imsdb.com/scripts/She%27s-Out-of-My-League.html,She's Out of My League,2010-03-11,34016,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",She's Out of My League,2010,0815236,Shes-Out-of-My-League_dialogue.txt,Shes-Out-of-My-League_charinfo.txt,Shes-Out-of-My-League_parsed.txt
855,sherlockholmes,Sherlock Holmes,imsdb,Sherlock-Holmes,https://imsdb.com/scripts/Sherlock-Holmes.html,Sherlock Holmes,2009-12-23,10528,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,Sherlock Holmes,2009,0988045,Sherlock-Holmes_dialogue.txt,Sherlock-Holmes_charinfo.txt,Sherlock-Holmes_parsed.txt
856,shifty,Shifty,imsdb,Shifty,https://imsdb.com/scripts/Shifty.html,Shifty,2009-04-24,21900,"Shifty, a young crack cocaine dealer in London, sees his life quickly spiral out of control when his best friend returns home. Stalked by a customer desperate to score at all costs, and with his family about to turn their back on him for good, Shifty must out-run and out-smart a rival drug dealer, intent on setting him up for a big fall.",Shifty,2008,1104126,Shifty_dialogue.txt,Shifty_charinfo.txt,Shifty_parsed.txt
